Date  of Report ,U-1/  Years  16-29  Years  30-59  Years  40-49  Years  30-59  Years  60-69  Years  /U+  Years ,,,,,,,All Ages
2020-08-01,0.14,0.43,0.68,1.1,1.6,2.13,3.96,
2020-08-02,0.13,,,,,,,1.56
2020-08-03,,0.44,0.67,1.1,1.57,2.13,3.94,1.54
2020-08-04,0.13,0.44,0.67,1.11,1.54,2.11,3.87,1.5
2020-08-05,0.13,0.44,0.68,1.09,1.52,2.11,3.82,1.49
2020-08-06,0.12,0.44,0.67,1.06,1.48,2.12,3.8,1.46
2020-08-07,0.13,0.44,0.66,1.04,1.49,2.06,3.75,1.41
2020-08-08,0.13,0.43,0.65,1.04,1.48,2.09,3.78,1.36
2020-08-09,0.14,0.41,0.65,1.01,1.46,2.05,3.77,1.35
2020-08-10,0.14,0.41,0.65,0.97,1.46,2.01,3.72,1.33
2020-08-11,0.15,0.41,0.64,0.93,1.44,2.02,3.7,1.32
2020-08-12,0.15,0.41,0.63,0.89,1.42,1.98,3.65,1.3
2020-08-13,0.15,0.4,0.61,0.87,1.38,1.92,3.55,1.29
2020-08-14,0.15,0.39,0.6,0.86,1.35,1.9,3.48,1.29
2020-08-15,0.15,0.38,0.58,0.83,1.3,1.85,3.38,1.29
2020-08-16,0.14,0.38,0.57,0.83,1.28,1.83,3.34,1.29
2020-08-17,0.13,0.37,0.55,0.83,1.25,1.81,3.28,1.32
2020-08-18,0.12,0.35,0.54,0.82,1.22,1.76,3.22,1.31
2020-08-19,0.11,0.34,0.52,0.83,1.18,1.76,3.19,1.31
